Employee ID,Age,Gender,Years at Company,Job Role,Monthly Income,Work-Life Balance,Job Satisfaction,Performance Rating,Number of Promotions,Overtime,Distance from Home,Education Level,Marital Status,Number of Dependents,Job Level,Company Size,Company Tenure,Remote Work,Leadership Opportunities,Innovation Opportunities,Company Reputation,Employee Recognition,Attrition
8410,31,Male,19,Education,5390,Excellent,Medium,Average,2,No,22,Associate Degree,Married,0,Mid,Medium,89,No,No,No,Excellent,Medium,Stayed
64756,59,Female,4,Media,5534,Poor,High,Low,3,No,21,Master’s Degree,Divorced,3,Mid,Medium,21,No,No,No,Fair,Low,Stayed
30257,24,Female,10,Healthcare,8159,Good,High,Low,0,No,11,Bachelor’s Degree,Married,3,Mid,Medium,74,No,No,No,Poor,Low,Stayed
65791,36,Female,7,Education,3989,Good,High,High,1,No,27,High School,Single,2,Mid,Small,50,Yes,No,No,Good,Medium,Stayed
65026,56,Male,41,Education,4821,Fair,Very High,Average,0,Yes,71,High School,Divorced,0,Senior,Medium,68,No,No,No,Fair,Medium,Stayed
24368,38,Female,3,Technology,9977,Fair,High,Below Average,3,No,37,Bachelor’s Degree,Married,0,Mid,Medium,47,No,No,Yes,Fair,High,Left
64970,47,Male,23,Education,3681,Fair,High,High,1,Yes,75,High School,Divorced,3,Entry,Small,93,No,No,No,Good,Medium,Left
36999,48,Male,16,Finance,11223,Excellent,Very High,High,2,No,5,Master’s Degree,Married,4,Entry,Medium,88,No,No,No,Excellent,Low,Stayed
32714,57,Male,44,Education,3773,Good,Medium,High,1,Yes,39,High School,Married,4,Entry,Medium,75,No,No,No,Fair,Medium,Stayed
15944,24,Female,1,Healthcare,7319,Poor,High,Average,1,Yes,57,PhD,Single,4,Entry,Large,45,No,No,Yes,Good,Low,Left
29972,30,Female,12,Education,5443,Good,High,Average,1,No,51,High School,Single,1,Entry,Small,17,No,No,No,Good,Medium,Left
9063,29,Female,6,Healthcare,8950,Poor,Medium,Low,2,No,26,Master’s Degree,Single,0,Mid,Medium,38,No,No,No,Poor,Medium,Left
21896,47,Female,38,Technology,9039,Fair,Very High,High,1,No,78,Associate Degree,Married,0,Entry,Small,68,No,No,No,Good,Low,Left
28098,31,Male,22,Healthcare,8090,Fair,Medium,High,4,Yes,30,Associate Degree,Divorced,2,Mid,Small,84,No,No,No,Good,Medium,Stayed
22068,40,Female,30,Technology,6350,Good,High,Average,0,No,98,High School,Single,0,Senior,Large,96,No,No,No,Good,High,Stayed
17696,40,Female,4,Finance,5176,Poor,High,Average,0,No,48,High School,Single,0,Entry,Small,21,Yes,No,No,Good,High,Left
55668,19,Female,9,Technology,8242,Excellent,Medium,Average,2,Yes,17,High School,Single,3,Mid,Small,63,No,No,No,Fair,High,Left
19288,33,Female,1,Finance,8733,Good,High,Below Average,1,Yes,86,High School,Single,0,Mid,Small,19,No,No,No,Good,Low,Stayed
17034,49,Female,37,Media,6252,Fair,High,High,2,No,60,Bachelor’s Degree,Divorced,4,Senior,Medium,70,No,No,No,Good,High,Stayed
9697,29,Male,9,Healthcare,7538,Fair,Medium,Average,0,No,10,Bachelor’s Degree,Married,0,Senior,Small,76,No,No,No,Good,High,Stayed
17209,51,Female,41,Finance,8733,Good,High,Average,2,Yes,18,Master’s Degree,Divorced,3,Mid,Small,72,No,No,No,Good,High,Stayed
45399,57,Female,33,Healthcare,8201,Good,Very High,Average,0,No,95,PhD,Married,1,Mid,Medium,95,No,No,No,Fair,Medium,Stayed
58984,39,Female,1,Finance,8079,Excellent,High,High,1,No,23,Master’s Degree,Single,0,Entry,Medium,20,No,No,No,Poor,Low,Left
24208,36,Male,13,Media,5874,Fair,High,Average,0,No,16,High School,Single,1,Mid,Medium,40,No,No,No,Good,High,Left
14291,54,Male,5,Education,4656,Good,Medium,Average,0,Yes,63,High School,Single,0,Mid,Medium,60,No,No,No,Good,Low,Left
20748,48,Male,9,Education,4987,Fair,High,Average,1,No,92,Associate Degree,Divorced,0,Entry,Medium,23,No,No,Yes,Good,Medium,Left
13394,23,Male,13,Technology,12507,Fair,High,High,0,No,86,High School,Single,1,Mid,Medium,83,No,No,Yes,Good,Low,Stayed
65251,45,Female,21,Healthcare,7571,Good,Very High,Average,1,Yes,30,Associate Degree,Married,1,Entry,Small,67,Yes,No,No,Fair,Medium,Stayed
6885,48,Male,32,Education,3535,Good,Medium,Average,0,Yes,48,Bachelor’s Degree,Married,0,Senior,Medium,84,No,No,No,Good,Low,Stayed
68576,45,Female,34,Finance,8330,Excellent,High,Average,0,Yes,58,Bachelor’s Degree,Married,4,Mid,Medium,91,Yes,No,No,Good,High,Stayed
69149,24,Male,11,Healthcare,6334,Good,High,Average,0,Yes,55,Bachelor’s Degree,Divorced,2,Senior,Small,28,No,No,Yes,Good,Medium,Stayed
61864,42,Male,1,Technology,8874,Good,Medium,Average,1,No,31,Associate Degree,Divorced,2,Entry,Small,27,No,No,No,Poor,Very High,Stayed
29641,53,Male,44,Healthcare,7364,Poor,Medium,Average,1,No,92,Associate Degree,Married,0,Mid,Small,55,No,Yes,No,Good,High,Left
65586,39,Male,22,Finance,5556,Good,High,Average,0,No,16,Associate Degree,Married,0,Entry,Medium,28,No,No,No,Excellent,Low,Left
15737,37,Male,2,Technology,9293,Good,High,Below Average,0,No,55,Bachelor’s Degree,Married,0,Mid,Small,54,No,No,Yes,Fair,Low,Stayed
51448,37,Male,6,Finance,7701,Fair,High,Below Average,0,Yes,32,High School,Married,1,Entry,Medium,71,No,Yes,Yes,Good,Low,Stayed
12259,31,Male,18,Media,5105,Poor,Low,Average,2,No,82,Bachelor’s Degree,Single,2,Senior,Small,46,No,No,Yes,Excellent,Very High,Left
8881,37,Male,9,Healthcare,8632,Fair,High,Average,2,No,8,Master’s Degree,Divorced,2,Senior,Medium,86,Yes,No,No,Poor,High,Stayed
17543,45,Female,27,Media,5315,Good,High,Average,2,Yes,74,Associate Degree,Married,4,Entry,Small,70,No,No,Yes,Poor,Low,Stayed
74472,57,Female,23,Media,5938,Excellent,Very High,Average,2,Yes,3,Master’s Degree,Divorced,3,Mid,Medium,47,No,No,No,Good,Medium,Stayed
64075,42,Female,2,Media,6213,Fair,High,Average,0,No,5,Bachelor’s Degree,Single,4,Entry,Small,69,No,No,No,Good,Medium,Left
54804,31,Female,17,Media,5956,Fair,Low,Average,0,No,76,Bachelor’s Degree,Divorced,4,Entry,Small,27,No,No,No,Good,Low,Left
24350,56,Female,22,Media,6605,Excellent,High,Below Average,2,Yes,47,Bachelor’s Degree,Married,2,Mid,Medium,74,No,No,No,Good,Low,Stayed
72189,34,Male,12,Finance,8274,Good,Very High,Below Average,0,Yes,67,Bachelor’s Degree,Single,1,Entry,Medium,36,No,No,No,Poor,Low,Left
36437,56,Male,7,Technology,9878,Good,Very High,Average,2,No,58,Master’s Degree,Single,1,Entry,Small,22,No,No,No,Good,Low,Left
34857,47,Female,36,Technology,8442,Fair,Low,High,1,No,84,Associate Degree,Single,0,Entry,Medium,67,Yes,No,No,Poor,Low,Left
26304,25,Female,2,Healthcare,6690,Fair,Low,High,0,Yes,14,Associate Degree,Married,2,Entry,Medium,25,Yes,No,No,Good,Medium,Stayed
33177,25,Female,3,Healthcare,8397,Excellent,High,Below Average,0,Yes,36,Bachelor’s Degree,Married,3,Entry,Small,49,Yes,No,No,Poor,Low,Stayed
70003,36,Male,8,Technology,9775,Fair,High,Average,1,Yes,79,Bachelor’s Degree,Single,1,Mid,Medium,61,No,No,Yes,Good,High,Left
63046,41,Male,28,Media,5586,Good,High,Average,0,No,52,Associate Degree,Married,0,Entry,Small,103,No,No,No,Good,Medium,Stayed
30924,55,Female,6,Healthcare,9355,Fair,Very High,Average,0,Yes,44,Bachelor’s Degree,Married,3,Senior,Small,64,No,No,Yes,Poor,High,Left
5254,48,Female,18,Technology,7976,Fair,High,High,0,Yes,32,High School,Single,2,Mid,Small,71,No,No,No,Good,Medium,Left
33430,21,Male,11,Media,6356,Poor,High,Average,0,No,89,Associate Degree,Married,0,Senior,Medium,12,No,No,No,Good,High,Stayed
67450,34,Male,21,Media,5967,Fair,Low,Average,1,No,39,Bachelor’s Degree,Married,0,Mid,Small,39,Yes,No,No,Good,Medium,Stayed
66579,28,Female,12,Technology,10111,Fair,Medium,Average,2,No,37,High School,Married,3,Mid,Small,33,No,No,No,Good,Low,Stayed
54104,26,Male,3,Finance,8673,Excellent,High,Average,0,No,64,Associate Degree,Single,1,Entry,Large,57,No,No,Yes,Good,Medium,Left
18361,47,Male,22,Education,5040,Fair,Very High,Low,3,Yes,7,High School,Married,0,Mid,Medium,58,Yes,No,No,Good,Low,Stayed
4098,30,Female,22,Technology,9894,Poor,Low,Average,1,No,87,Associate Degree,Single,2,Entry,Small,65,Yes,No,No,Excellent,Medium,Left
27742,24,Male,13,Technology,6785,Good,High,Average,0,No,24,Bachelor’s Degree,Single,3,Senior,Small,57,No,No,Yes,Fair,High,Left
1591,23,Female,2,Finance,7368,Fair,Very High,Below Average,0,No,15,Master’s Degree,Married,3,Senior,Small,17,No,No,Yes,Good,High,Stayed
27451,52,Male,34,Media,5154,Fair,Medium,Average,0,Yes,16,High School,Single,2,Mid,Small,83,No,No,No,Fair,Medium,Left
58305,51,Male,16,Healthcare,8407,Good,Very High,Average,1,No,63,Bachelor’s Degree,Single,1,Entry,Small,66,No,No,No,Good,Low,Left
19684,50,Male,21,Education,4195,Good,Very High,Average,2,Yes,76,Bachelor’s Degree,Married,2,Entry,Small,100,Yes,No,No,Good,Very High,Stayed
9392,45,Male,6,Education,4451,Fair,High,Average,0,No,81,High School,Married,2,Entry,Large,65,No,No,No,Fair,Medium,Stayed
18598,31,Female,11,Technology,10122,Fair,High,Average,2,No,58,Bachelor’s Degree,Married,0,Senior,Small,62,Yes,No,No,Poor,Low,Stayed
70231,50,Male,35,Finance,7303,Good,High,Below Average,1,Yes,48,High School,Married,1,Entry,Medium,84,Yes,No,Yes,Poor,High,Stayed
65665,29,Male,8,Finance,7946,Poor,Very High,Average,0,No,75,Associate Degree,Single,1,Mid,Medium,17,No,Yes,No,Poor,High,Left
64242,27,Male,14,Finance,6026,Poor,High,Below Average,0,Yes,30,Bachelor’s Degree,Single,2,Mid,Large,20,No,No,No,Good,High,Left
23287,48,Male,1,Technology,10135,Poor,High,Low,0,Yes,13,Bachelor’s Degree,Single,3,Entry,Small,72,No,No,No,Good,Medium,Left
12556,47,Male,24,Healthcare,8631,Fair,Very High,High,0,No,35,Bachelor’s Degree,Married,3,Senior,Medium,89,No,No,No,Poor,Low,Stayed
68364,41,Female,11,Education,4431,Poor,Very High,High,0,No,8,Associate Degree,Married,2,Senior,Medium,80,No,No,No,Excellent,Low,Left
31457,53,Female,2,Education,3598,Good,High,Average,0,Yes,98,Associate Degree,Single,1,Entry,Large,69,No,No,Yes,Fair,Medium,Left
14169,37,Female,2,Healthcare,7949,Excellent,Medium,Average,0,No,95,High School,Married,5,Entry,Large,6,Yes,No,No,Excellent,Low,Stayed
43193,21,Female,10,Healthcare,7967,Fair,High,Average,0,No,44,Master’s Degree,Single,1,Senior,Large,64,No,No,No,Fair,High,Stayed
67257,53,Female,23,Healthcare,8876,Fair,Low,Average,2,Yes,68,High School,Married,3,Entry,Medium,78,No,No,Yes,Good,High,Left
52985,45,Female,28,Media,6628,Good,High,Average,0,Yes,56,Bachelor’s Degree,Married,3,Senior,Medium,30,No,No,No,Fair,Low,Left
31826,49,Male,9,Healthcare,8340,Good,High,High,1,No,73,Bachelor’s Degree,Single,0,Entry,Large,77,No,No,No,Fair,Low,Left
64500,37,Male,22,Finance,10080,Poor,High,Average,0,No,21,Bachelor’s Degree,Married,1,Mid,Medium,69,No,No,No,Good,Medium,Left
24841,39,Male,9,Finance,8860,Good,Medium,Below Average,0,Yes,26,Bachelor’s Degree,Married,1,Mid,Medium,61,No,No,No,Fair,Medium,Left
62882,27,Male,17,Media,5678,Fair,High,Average,2,No,41,Bachelor’s Degree,Married,2,Mid,Medium,54,No,No,No,Good,Low,Stayed
7424,58,Male,14,Technology,8683,Poor,High,Average,2,No,34,Bachelor’s Degree,Divorced,0,Senior,Large,87,Yes,Yes,Yes,Good,Low,Stayed
9870,49,Female,2,Education,4042,Good,High,Below Average,0,No,29,Associate Degree,Divorced,2,Entry,Medium,58,No,No,No,Good,High,Left
6688,54,Male,24,Technology,9737,Poor,Medium,Below Average,0,No,8,Bachelor’s Degree,Married,0,Entry,Medium,88,Yes,No,No,Fair,Low,Stayed
3625,38,Male,18,Education,5246,Good,High,High,0,Yes,84,Master’s Degree,Divorced,2,Mid,Medium,20,No,No,No,Good,Low,Left
66157,19,Female,1,Finance,10141,Good,High,Average,1,No,19,Bachelor’s Degree,Single,1,Entry,Large,41,No,No,Yes,Fair,Medium,Left
46550,43,Male,34,Technology,9033,Good,High,Below Average,1,No,50,High School,Married,1,Entry,Medium,97,No,No,No,Poor,Medium,Stayed
60485,30,Male,10,Media,5397,Excellent,Low,Average,1,Yes,68,Bachelor’s Degree,Married,0,Entry,Large,75,No,No,No,Poor,Low,Left
26078,31,Male,19,Healthcare,6135,Good,High,High,0,No,41,PhD,Single,0,Entry,Medium,88,No,No,No,Good,Medium,Stayed
13319,47,Male,28,Healthcare,7063,Poor,Very High,Below Average,0,No,62,Associate Degree,Married,0,Senior,Medium,49,No,No,Yes,Good,Medium,Stayed
65739,58,Female,40,Media,6940,Good,High,High,0,No,49,Bachelor’s Degree,Married,1,Senior,Large,67,Yes,No,No,Poor,Medium,Stayed
43732,40,Male,17,Education,4733,Poor,High,Below Average,1,No,69,PhD,Married,4,Entry,Small,60,No,No,No,Excellent,Medium,Stayed
45545,35,Male,17,Healthcare,7625,Good,High,High,0,No,26,Bachelor’s Degree,Married,0,Mid,Large,31,No,No,No,Good,High,Stayed
72101,31,Female,2,Technology,6640,Fair,Medium,Average,0,No,13,Associate Degree,Divorced,4,Senior,Large,33,No,No,Yes,Good,High,Stayed
46992,31,Male,8,Technology,7287,Excellent,Medium,High,2,Yes,33,Master’s Degree,Single,0,Entry,Small,69,No,No,Yes,Excellent,Medium,Stayed
54577,40,Male,5,Healthcare,6993,Fair,Medium,Average,0,Yes,57,High School,Single,0,Entry,Large,75,No,No,No,Fair,Low,Left
23371,49,Female,22,Finance,12041,Excellent,High,Low,0,No,62,PhD,Single,6,Mid,Small,23,No,No,Yes,Good,Low,Stayed
41178,33,Female,1,Finance,6534,Fair,Low,Average,1,No,21,Master’s Degree,Single,4,Entry,Small,12,No,No,No,Good,Medium,Left
17004,52,Male,15,Healthcare,7529,Good,Medium,Average,0,No,61,Bachelor’s Degree,Married,5,Entry,Large,34,No,No,No,Good,Very High,Stayed
18068,51,Male,12,Finance,4421,Good,High,Average,1,No,62,Master’s Degree,Single,0,Entry,Medium,14,Yes,No,No,Good,High,Stayed
19252,27,Female,11,Technology,9197,Good,High,High,0,Yes,53,High School,Married,2,Senior,Large,35,No,No,No,Good,Medium,Stayed
65212,58,Male,6,Healthcare,8762,Fair,High,High,0,Yes,72,Bachelor’s Degree,Married,0,Entry,Small,38,No,No,No,Good,Medium,Left
36263,42,Female,7,Technology,8744,Good,Medium,High,1,Yes,41,High School,Single,3,Entry,Small,71,Yes,No,Yes,Good,Medium,Left
23691,26,Male,3,Healthcare,7406,Good,Low,Low,3,No,91,Associate Degree,Married,0,Entry,Medium,57,Yes,No,No,Poor,Low,Left
20242,37,Female,7,Media,6099,Good,High,High,0,No,19,Bachelor’s Degree,Married,0,Senior,Small,16,Yes,No,No,Excellent,Low,Stayed
52881,55,Male,13,Technology,9626,Good,High,Average,2,No,27,Bachelor’s Degree,Single,0,Senior,Small,81,No,No,Yes,Good,High,Stayed
32705,46,Female,6,Technology,10298,Fair,High,Average,0,No,47,Bachelor’s Degree,Single,0,Entry,Medium,84,No,No,No,Fair,Low,Left
71450,41,Male,2,Technology,8972,Good,Very High,Average,1,No,76,Master’s Degree,Divorced,1,Mid,Large,72,No,No,Yes,Excellent,Low,Left
29475,58,Female,14,Technology,9501,Fair,Medium,Average,1,Yes,56,Bachelor’s Degree,Single,4,Entry,Large,52,No,No,No,Poor,Medium,Left
34465,40,Female,22,Education,4023,Excellent,Very High,Low,0,No,58,Master’s Degree,Married,4,Entry,Medium,55,No,Yes,No,Good,Medium,Left
21012,53,Male,41,Finance,8332,Poor,High,Below Average,0,No,24,Master’s Degree,Single,4,Entry,Medium,47,No,No,No,Good,High,Left
42659,46,Female,9,Education,4237,Fair,Medium,Average,0,Yes,36,Bachelor’s Degree,Married,1,Senior,Large,20,No,No,No,Poor,Medium,Left
47934,45,Male,9,Education,6437,Fair,High,High,1,No,53,Associate Degree,Married,4,Mid,Medium,31,No,No,No,Poor,Medium,Left
71441,56,Male,32,Healthcare,6690,Excellent,Medium,High,1,No,35,High School,Married,1,Entry,Small,80,No,No,No,Fair,Low,Stayed
63893,23,Male,11,Technology,7038,Good,Medium,Average,0,No,74,Associate Degree,Married,0,Entry,Large,55,No,No,No,Fair,Low,Left
29637,55,Male,40,Healthcare,9177,Fair,Low,Below Average,0,No,65,Associate Degree,Single,0,Mid,Medium,106,No,No,No,Excellent,Low,Left
38110,48,Female,19,Technology,8761,Good,High,Below Average,0,No,75,High School,Married,3,Entry,Medium,90,Yes,No,No,Poor,Very High,Stayed
70639,47,Male,24,Media,5428,Excellent,Low,Average,0,Yes,93,Associate Degree,Divorced,1,Entry,Medium,49,No,No,No,Good,Medium,Stayed
8021,26,Female,8,Healthcare,7859,Good,Medium,Average,4,No,44,High School,Married,5,Senior,Small,35,No,No,No,Good,Low,Stayed
28368,21,Male,4,Technology,10298,Good,High,Average,2,No,28,High School,Single,0,Senior,Medium,53,No,No,No,Fair,Low,Left
575,44,Male,13,Healthcare,7430,Good,Low,Average,1,Yes,23,Associate Degree,Married,3,Mid,Medium,73,No,No,No,Good,Low,Stayed
49959,24,Male,2,Education,4573,Fair,High,High,2,Yes,37,Bachelor’s Degree,Married,0,Senior,Small,62,No,No,No,Good,Medium,Stayed
72401,31,Male,13,Technology,9434,Good,Very High,Below Average,0,No,76,Bachelor’s Degree,Married,0,Mid,Medium,83,Yes,No,No,Fair,Low,Stayed
24980,45,Female,24,Finance,4583,Excellent,Very High,High,2,Yes,55,Associate Degree,Married,1,Mid,Medium,62,No,No,No,Good,Medium,Left
11385,19,Male,3,Healthcare,7979,Fair,Medium,Low,1,Yes,46,High School,Married,2,Entry,Medium,27,No,No,Yes,Fair,Medium,Left
4856,59,Female,30,Technology,10166,Excellent,High,Average,1,No,32,Associate Degree,Married,1,Entry,Medium,37,No,No,No,Good,High,Left
14265,50,Male,35,Media,5316,Fair,High,Average,2,No,21,Bachelor’s Degree,Married,0,Mid,Medium,80,Yes,No,No,Good,Medium,Stayed
370,59,Male,45,Technology,10030,Good,Low,Average,2,No,64,High School,Married,3,Mid,Large,52,No,No,No,Poor,Low,Left
25774,54,Male,2,Healthcare,8736,Good,Very High,Average,0,Yes,86,Associate Degree,Single,1,Entry,Small,5,No,No,No,Poor,Low,Left
