Employee ID,Age,Gender,Years at Company,Job Role,Monthly Income,Work-Life Balance,Job Satisfaction,Performance Rating,Number of Promotions,Overtime,Distance from Home,Education Level,Marital Status,Number of Dependents,Job Level,Company Size,Company Tenure,Remote Work,Leadership Opportunities,Innovation Opportunities,Company Reputation,Employee Recognition,Attrition
70156,58,1,13,4,8087,2,3,1,1,0,22,0,0,0,2,1,29,0,0,0,0,0,1
43246,49,1,15,0,2908,2,0,0,0,0,8,1,1,4,1,1,30,0,1,0,3,0,1
3669,33,1,22,3,6434,2,0,2,0,0,76,1,2,2,1,1,60,0,0,0,2,2,1
58957,56,1,28,1,7307,2,2,2,0,0,96,2,0,3,0,1,70,0,0,1,0,2,1
45478,43,1,2,1,8315,1,2,2,1,1,38,1,2,0,0,2,48,1,0,0,2,0,0
29196,53,1,2,3,5008,1,0,0,3,0,50,1,1,1,1,1,52,1,0,0,2,2,1
30110,21,1,5,0,4441,1,0,2,0,0,50,1,1,3,1,1,8,0,0,0,1,1,1
43626,21,0,11,2,8784,2,2,0,0,0,14,1,1,2,1,0,77,0,0,0,1,1,1
10108,44,1,35,4,8507,0,0,0,2,0,47,4,2,0,0,2,37,0,0,1,2,0,1
2432,38,1,19,0,5980,2,0,0,1,1,32,3,1,4,0,1,30,0,0,0,3,0,1
54565,42,1,12,3,6109,2,0,3,1,1,49,1,1,0,0,1,53,0,0,0,3,2,0
55329,40,0,1,1,4037,3,0,0,0,0,14,3,2,0,0,1,11,1,0,0,2,1,0
21775,34,1,24,3,5100,0,0,0,1,0,85,3,2,5,1,1,72,0,0,0,1,1,1
58436,29,1,15,3,5437,2,0,0,2,1,16,2,1,1,2,1,68,0,0,0,2,1,1
1508,49,0,11,2,8975,2,3,0,1,0,11,2,1,2,0,2,44,0,0,1,2,2,0
59500,35,1,11,4,9115,1,0,0,1,1,14,1,1,0,0,2,28,0,0,1,0,0,0
42422,19,0,6,3,6556,2,0,0,0,1,45,1,2,4,0,1,60,0,0,1,3,0,0
60410,28,1,11,0,4636,1,0,0,2,1,94,1,1,0,2,1,33,0,0,0,2,2,1
44211,53,0,9,3,6088,3,2,2,0,0,70,3,1,2,2,1,80,0,0,0,1,0,1
38561,45,0,1,2,9117,1,2,0,2,0,94,1,2,3,1,1,5,0,0,0,2,0,0
59924,25,1,5,1,7372,2,0,0,0,0,59,0,0,2,1,0,59,0,0,0,1,0,1
24078,48,1,32,1,11529,0,3,0,2,0,20,4,1,4,2,0,58,1,0,0,2,0,1
18422,19,1,8,4,7789,3,0,2,2,0,53,4,2,3,1,2,61,0,0,1,2,1,0
70316,18,0,3,0,3541,0,0,2,1,0,28,1,1,1,1,0,22,0,0,0,2,1,0
36142,35,1,11,1,5711,1,0,2,0,0,91,2,0,1,1,1,67,1,0,0,1,1,1
42316,50,1,40,1,8432,1,0,0,0,0,64,2,0,1,2,1,71,0,0,0,2,2,1
32519,22,1,9,1,6419,2,2,3,3,0,22,2,1,1,1,1,69,0,1,0,1,0,1
44886,28,0,5,1,6502,2,0,0,0,0,41,1,2,1,0,2,53,0,1,0,1,3,0
40282,40,1,24,0,4461,2,0,2,2,0,29,0,2,2,0,2,67,0,0,0,2,1,1
24479,29,1,10,1,10112,2,0,0,2,0,40,0,2,0,0,1,68,0,0,0,3,2,0
61524,34,1,25,4,10569,1,0,0,3,0,86,3,0,0,2,2,39,0,0,0,0,1,1
4691,47,1,25,4,6088,3,0,0,0,0,4,3,1,1,1,1,90,0,0,1,2,2,1
13325,55,1,34,1,9012,1,0,0,1,0,71,2,0,5,1,1,70,1,0,0,3,2,1
29914,45,1,4,2,8165,1,1,0,0,0,97,1,0,1,2,1,38,0,0,0,2,2,0
6208,58,0,16,4,11870,0,1,0,0,0,66,3,2,0,0,1,48,0,0,0,2,1,0
55413,28,1,14,1,10453,0,2,0,0,0,51,1,1,5,0,2,62,0,0,0,2,0,1
63464,32,1,10,2,7961,0,0,0,1,0,96,2,1,3,2,1,18,0,0,0,2,1,1
66718,41,1,23,0,4817,0,2,3,1,0,95,3,1,1,0,1,67,1,0,0,1,1,1
13895,44,1,5,4,9356,1,0,0,0,0,56,0,1,1,2,2,21,1,0,0,2,1,1
71316,44,1,17,0,4679,1,2,0,2,1,84,2,1,0,2,1,64,0,0,0,2,2,1
21953,55,0,44,3,5671,1,3,0,1,1,10,1,1,1,2,1,62,0,0,0,1,0,0
8722,50,0,15,4,8992,0,3,0,3,0,85,0,2,0,1,2,58,0,0,0,2,1,1
8526,28,0,15,0,6291,1,0,0,0,0,71,0,1,2,0,2,54,0,0,0,2,1,0
8073,31,0,9,3,5864,0,0,2,1,0,43,3,1,1,1,1,40,0,0,1,2,2,1
45150,50,0,36,1,9332,0,2,0,3,0,95,0,1,0,0,1,78,0,0,0,1,0,1
40530,37,1,21,1,7134,1,0,0,3,0,25,1,2,4,1,1,61,0,0,0,2,0,1
32199,24,1,6,3,6164,3,0,2,0,0,20,1,2,1,0,0,60,0,0,0,2,1,0
69249,42,0,17,2,8323,2,3,1,0,0,79,0,2,0,1,1,72,0,0,0,3,2,0
45779,33,0,22,3,5699,1,0,0,2,0,70,4,1,4,0,1,55,0,0,0,1,0,0
8313,32,0,24,4,10959,1,2,0,1,0,81,1,2,0,1,2,59,0,0,0,3,1,0
29094,48,1,40,2,6510,1,0,2,1,1,37,3,2,6,0,0,90,0,0,0,2,1,0
62958,48,1,4,1,8701,1,3,0,1,1,12,3,2,0,0,0,57,1,0,0,2,2,0
1397,30,0,20,4,10218,0,0,0,0,1,49,3,1,1,1,1,46,0,0,0,3,2,0
70565,48,0,15,4,7519,2,0,0,0,0,28,4,1,1,0,2,23,0,0,0,2,2,1
1636,34,0,11,4,9903,2,0,0,3,0,19,1,1,2,1,2,20,0,0,0,0,1,1
31854,49,0,28,2,7474,2,0,0,1,0,65,2,1,0,1,1,76,1,0,0,3,2,1
39870,35,1,21,4,7512,3,3,0,0,0,86,3,2,3,0,1,98,0,0,1,2,2,0
45689,52,1,1,1,13109,1,3,0,0,1,31,0,2,0,2,1,67,0,0,0,2,2,1
10020,54,0,44,2,9190,2,2,2,2,0,77,1,1,0,2,1,112,0,0,0,1,1,1
57319,21,1,9,2,9236,2,0,0,0,0,17,1,0,1,0,1,86,0,0,0,2,1,0
16085,27,0,18,0,4840,2,0,0,1,1,91,3,1,6,1,2,29,1,0,1,2,2,1
14316,55,0,31,0,3213,3,3,0,2,0,83,0,0,1,1,2,44,1,0,0,1,0,0
64713,43,1,15,0,4958,0,3,1,2,0,24,2,2,3,0,2,38,0,0,0,2,1,0
46422,43,0,20,4,8150,2,0,0,3,0,72,3,0,2,2,2,36,1,0,0,0,2,1
59570,43,1,11,4,9055,1,3,0,0,0,99,2,1,3,1,2,15,0,0,0,2,3,1
22220,56,1,35,0,3942,3,0,0,1,0,20,0,1,1,0,1,108,0,0,0,1,0,1
26834,57,1,32,0,4302,1,2,2,2,0,98,3,1,0,1,1,90,0,0,0,1,1,0
28082,58,1,25,0,4821,3,3,0,0,0,55,1,1,2,0,2,99,0,0,0,3,1,0
68729,49,1,24,1,9156,2,0,2,0,0,88,3,1,0,0,1,73,0,0,0,3,0,1
61346,30,0,1,0,4615,3,0,0,2,0,48,0,1,3,1,0,35,1,0,0,3,2,1
23138,49,0,20,4,11010,1,0,1,1,1,39,1,1,1,0,0,52,0,0,0,3,1,0
11366,37,0,6,2,6758,2,0,0,2,1,14,0,2,0,0,1,49,0,1,0,1,1,0
17670,42,1,29,4,10381,2,0,2,2,1,18,1,2,0,1,0,56,0,0,0,0,0,0
33907,41,1,18,4,8222,2,0,0,2,1,33,1,1,1,0,1,83,1,0,0,2,0,1
9228,42,1,6,4,8499,0,0,1,0,0,29,0,1,0,0,2,26,0,0,0,1,1,0
12550,57,0,14,1,6757,2,2,0,2,0,61,2,2,3,0,0,16,0,0,0,2,0,0
46713,51,0,28,3,6387,0,2,0,0,0,34,1,1,5,0,1,84,0,0,0,2,0,1
9458,55,1,12,4,8516,2,2,0,1,1,12,3,2,4,2,1,85,1,0,0,2,1,1
34769,19,0,3,2,6772,2,0,0,1,0,46,4,0,4,2,2,25,0,0,0,2,0,1
23866,54,0,40,0,4359,1,3,2,0,0,74,3,1,0,1,0,115,0,0,0,2,2,0
18816,24,1,12,3,5738,2,2,0,1,0,48,0,1,1,0,1,81,1,0,1,0,0,1
3254,28,0,15,4,8382,1,2,2,1,0,67,0,0,1,1,0,32,0,0,0,3,1,1
37822,21,1,3,4,9612,2,3,1,2,0,23,2,2,1,0,0,75,1,0,0,2,1,0
24029,54,1,9,2,7137,1,0,0,3,0,3,3,2,6,0,0,65,0,0,0,0,1,0
36211,57,0,45,1,8706,2,0,0,1,0,90,0,2,3,1,0,90,0,0,0,3,1,0
13773,45,1,5,0,5716,3,2,2,0,1,63,0,1,1,0,1,77,0,0,0,0,1,0
